# Frequency of Words Appearing in 4 Years of the Mainichi Newspaper.
# This file was produced by Charles Kelly (September 24-26, 2003)
# http://aitech.ac.jp/~ckelly/
#
# This file recalculates the word frequency counts in
# Alexandre Girardi's "wordfreq" file. (1998)
#
# This is what I did.
# The counts for the various forms of the same word were merged.
# Certain words/items were removed: numbers, English and romaji,
# punctuation, phrases ending in the particle "wo", lines beginning with
# "n" or the particle "wo."
# Then the file was sorted by "the count."
#
# The most fequently used word was used 3,711,420 times.
#    592 words were used more than 10,000 times.
#  5,039 words were used more than 1,000 times.
#  7,654 words were used more than 500 times.
# 19,602 words were used more than 100 times.
# 26,813 words were used more than 50 times.
# 38,389 words were used more than 20 times.
#
# The data contains 142,298 lines in the following format.
# The Word + TAB + The Count

事態	7008
北京	6977
買う	6976
規模	6966
不安	6963
改善	6962
村	6955
委員	6952
警察	6948
口	6942
佐川	6942
紹介	6928
ころ	6918
事務局	6918
貢献	6913
館	6910
春	6909
背景	6907
発生	6885
機能	6874
女	6862
合う	6852
献金	6838
長い	6824
変える	6817
設立	6813
税	6813
読む	6813
深い	6810
足	6802
経験	6802
世紀	6802
議論	6771
情勢	6768
主催	6751
だれ	6737
交流	6737
階	6736
研究所	6727
反発	6721
こんな	6714
新党	6714
住む	6714
総選挙	6711
方向	6689
銀	6686
部長	6681
購入	6673
発展	6672
基づく	6668
整備	6667
一時	6643
神奈川	6642
原則	6639
事情	6634
連絡	6627
少し	6613
署	6613
かかわる	6613
労働	6611
防衛	6596
父	6593
防止	6590
もっと	6574
上がる	6558
広がる	6555
会員	6543
最初	6535
自ら	6533
結婚	6530
当初	6520
メンバー	6510
切る	6507
料	6502
前後	6490
具体的	6490
トン	6490
出来る	6483
過ぎる	6478
作	6478
ソ	6474
なぜ	6471
発行	6459
欧	6458
領土	6455
こそ	6454
港	6452
夜	6451
さまざま	6448
選手権	6438
打つ	6435
準備	6435
色	6433
ソウル	6429
ラウンド	6423
民主	6423
男子	6421
部門	6420
採用	6418
積極的	6398
職員	6376
埼玉	6370
以下	6358
それに	6343
提供	6340
務める	6331
役割	6329
狙う	6319
財政	6318
不況	6311
実際	6305
川	6305
郡	6300
課	6295
千葉	6292
関	6285
経る	6280
ごと	6275
登場	6271
海部	6261
向かう	6243
構造	6228
文	6226
成功	6209
森	6208
反	6206
台湾	6196
裁判	6187
母	6182
上回る	6166
逆	6159
避ける	6149
イメージ	6144
意向	6138
事務	6130
構想	6122
除く	6115
佐藤	6113
打	6112
処分	6106
木	6105
投手	6101
自身	6101
業	6097
当選	6095
問い合わせ	6094
見直し	6082
政界	6078
セルビア	6074
補	6062
関心	6059
走る	6052
来日	6049
完全	6047
良い	6046
便	6044
発足	6041
工場	6039
がん	6039
戻る	6038
親	6032
一致	6029
失う	6026
長男	6011
株式	6008
営業	6008
生まれ	6004
増加	5997
和	5996
蔵相	5991
